category_name,original_text,created_text,name,model_name,prompt_type,Rouge-L-Score,BLEU,Semantic_Similarity,METEOR_Score,orig_complete_hierarchy,orig_child_only,created_complete_hierarchy,created_child_only
3D Printing,"Organize anything with our innovative 3D printable threaded peg boards, updated catalog of designs, and new online STL customizer.","The brand 3D Printing embodies innovation and accessibility in additive manufacturing, emphasizing customizable, on-demand solutions that empower users to create functional, tailored products. Thread Boards 2.0 exemplifies this ethos as a 3D printable peg board system with a twist: modular, threaded components that enable versatile assembly and reconfiguration. By combining practicality with adaptability, the project transforms traditional peg boards into dynamic organizational tools, allowing users to design space-efficient, personalized storage systems while leveraging 3D printing’s sustainability and DIY potential—showcasing how technology can redefine everyday objects through creativity and user-centric design.",Thread Boards 2.0 | 3D printable peg boards with a twist,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.021, 'Recall': 0.526, 'F1': 0.04}",0.002,0.668,0.119,[],[],"['Ethos', 'Ad Hominem', 'Smears', 'Pathos', 'Loaded Language']","['Smears', 'Loaded Language']"
Animation,Alyson confronts her perfectionism as she struggles with her anxiety of never being good enough. Will she ever learn to accept herself?,"**Animation** is a brand dedicated to crafting emotionally resonant stories through innovative visual storytelling, blending traditional artistry with modern techniques to explore universal human experiences. Their project *Alyssum – A 2D Animated Short Film* follows a young girl in a bleak, post-apocalyptic world who discovers a magical flower symbolizing hope and renewal. Through lush, hand-drawn animation and a minimalist narrative, the film juxtaposes desolation with ethereal beauty, conveying themes of resilience, humanity’s bond with nature, and the transformative power of small acts of courage. It embodies the brand’s mission to inspire audiences by finding light in darkness and celebrating perseverance through art.",Alyssum - A 2D Animated Short Film,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.013, 'Recall': 0.227, 'F1': 0.025}",0.002,0.154,0.053,"['Ethos', 'Ad Hominem', 'Smears']",['Smears'],"['Ethos', 'Ad Hominem', 'Name calling/Labeling', 'Smears', 'Pathos', 'Loaded Language']","['Name calling/Labeling', 'Smears', 'Loaded Language']"
Animation,"A boy wonders if there might be other people living in the universe. At the same time, an alien boy far away ponders the same question.","**Animation** is a storytelling brand that explores profound human experiences and existential questions through visually rich, emotionally resonant narratives. Its project *Is There There Anyone Out There?* delves into themes of isolation, connection, and the search for meaning in an increasingly fragmented world, following a protagonist navigating surreal landscapes to confront universal anxieties about existence. Blending imaginative animation with introspective storytelling, the project challenges audiences to reflect on their place in the cosmos and the fragile threads that bind humanity.",Is There Anyone Out There?,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.029, 'Recall': 0.308, 'F1': 0.052}",0.004,0.134,0.141,"['Ethos', 'Ad Hominem', 'Smears', 'Pathos']",['Smears'],"['Ethos', 'Ad Hominem', 'Pathos', 'Loaded Language']",['Loaded Language']
Animation,"This will be the world's first feature-length painted animation, brought to you by the Oscar winning studio - BreakThru Films.","""Loving Vincent,"" the world's first fully oil-painted animated feature film, embodies the fusion of art and cinema by meticulously hand-painting over 65,000 frames in Vincent van Gogh's iconic post-impressionist style. The project, driven by a passion for honoring the artist’s legacy, transforms his vibrant brushstrokes and vivid landscapes into a dynamic narrative exploring his life, mysterious death, and enduring influence. By animating his artworks and weaving them into a biographical mystery, the film immerses viewers in Van Gogh’s emotional world, bridging his timeless artistry with innovative storytelling to create a living, moving homage to his genius.""",Loving Vincent Film - bring Van Gogh paintings to life,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.022, 'Recall': 0.476, 'F1': 0.042}",0.004,0.486,0.095,"['Ethos', 'Ad Hominem']",[],"['Ethos', 'Glittering generalities (Virtue)', 'Pathos', 'Loaded Language']","['Glittering generalities (Virtue)', 'Loaded Language']"
Animation,A student animated musical short in which a hamster laments about all of the crazy ways that he could possibly die.,"**Animation** is a brand dedicated to crafting emotionally resonant, visually dynamic stories that explore the human condition through innovative animation. **Hamstercide: An Animated Musical Short** epitomizes this mission, blending dark humor and satire to critique societal apathy and exploitation. The project follows a group of anthropomorphic hamsters trapped in a dystopian corporate wheel, using catchy musical numbers and absurdist tragedy to underscore themes of systemic oppression, existential futility, and the cyclical nature of greed. Its core idea challenges viewers to reflect on complicity in oppressive systems while delivering a whimsically macabre narrative.",Hamstercide: An Animated Musical Short,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.036, 'Recall': 0.429, 'F1': 0.066}",0.005,0.551,0.121,"['Ethos', 'Ad Hominem', 'Name calling/Labeling', 'Smears', 'Pathos', 'Loaded Language']","['Name calling/Labeling', 'Smears', 'Loaded Language']","['Ethos', 'Ad Hominem', 'Name calling/Labeling', 'Smears', 'Pathos', 'Loaded Language']","['Name calling/Labeling', 'Smears', 'Loaded Language']"
Animation,"A film about anger and our inner voices. 14-year old Aaron searches for a way to deal with his bullies, pressure and rising anger.","**Animation** is a visionary brand dedicated to crafting emotionally resonant, boundary-pushing stories through innovative animation. Their project *Release the Beast: An Animated Short Film* explores the raw struggle between societal conformity and primal authenticity, centering on a young woman confronting a feral creature embodying her repressed emotions. Through striking visuals and metaphorical storytelling, the film delves into themes of self-liberation, urging audiences to embrace their true selves by confronting internalized fears and societal pressures. The project encapsulates the brand’s mission to merge artistic boldness with profound, universal narratives.",Release the Beast: An Animated Short Film,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.025, 'Recall': 0.36, 'F1': 0.046}",0.002,0.411,0.112,"['Ethos', 'Ad Hominem', 'Name calling/Labeling', 'Pathos', 'Loaded Language']","['Name calling/Labeling', 'Loaded Language']","['Ethos', 'Ad Hominem', 'Smears', 'Pathos', 'Loaded Language']","['Smears', 'Loaded Language']"
Anthologies,An anthology written by 20 South Asian women and non binary people.,"Anthologies is a literary platform dedicated to amplifying marginalized voices through curated collections that challenge dominant narratives. Their project *The Consequence of Us: South Asian Womxn & Non-Binary Writers* centers the intersectional experiences of South Asian womxn and non-binary individuals, offering a space to reclaim agency over their stories. By showcasing poetry, essays, and prose, the anthology confronts systemic erasure, explores themes of identity, displacement, resistance, and cultural legacy, and fosters solidarity through shared vulnerability. It underscores the transformative power of storytelling in dismantling stereotypes, celebrating resilience, and redefining representation within diasporic and global contexts.",The Consequence of Us-South Asian womxn & non binary writers,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.015, 'Recall': 0.667, 'F1': 0.03}",0.002,0.567,0.065,[],[],"['Ethos', 'Ad Hominem', 'Pathos', 'Loaded Language']",['Loaded Language']
Anthologies,"Planetside is a full color, 200+ page all-ages sci-fi slice of life comics anthology.","Anthologies is a creative brand dedicated to collaborative storytelling, uniting diverse voices to craft interconnected narratives that explore universal themes through innovative perspectives. Its flagship project, *Planetside Anthology*, embodies this mission by constructing a speculative fiction universe across multiple planets, where each standalone story examines societal dynamics, human resilience, and existential questions. Through imaginative world-building and collective creativity, the project weaves a cohesive tapestry of speculative scenarios, offering both escapism and profound commentary on real-world complexities.",Planetside Anthology,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.012, 'Recall': 0.438, 'F1': 0.024}",0.002,0.51,0.05,"['Ethos', 'Ad Hominem']",[],"['Ethos', 'Pathos', 'Loaded Language']",['Loaded Language']
Anthologies,The Samhain Shade returns with a second collection of ghoulish tales. Join him and the Mythoverse in celebrating the Halloween Season!,"Anthologies is a narrative-driven fragrance brand that crafts immersive olfactory experiences, blending storytelling with scent to evoke emotion and transport wearers to mythic, atmospheric realms. *Hallowed Harvest Volume 2* continues this ethos, offering an autumnal collection where each perfume embodies eerie, earthy tales of harvest folklore—melding decay, mysticism, and renewal into evocative aromas that celebrate the season’s haunting beauty and cyclical impermanence.",Hallowed Harvest Volume 2,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.025, 'Recall': 0.429, 'F1': 0.048}",0.003,0.203,0.145,"['Logos', 'Justification', 'Ethos', 'Ad Hominem', 'Name calling/Labeling', 'Pathos', 'Loaded Language']","['Name calling/Labeling', 'Loaded Language']","['Ethos', 'Ad Hominem', 'Pathos', 'Loaded Language']",['Loaded Language']
Anthologies,"Exclusive to Kickstarter - the limited Hardcover edition of the ""Becoming Who We Are"" anthology.","Anthologies is a brand dedicated to amplifying marginalized voices through authentic storytelling, fostering empathy and societal understanding. Its project *Becoming Who We Are: Real Stories About Growing Up Trans* centers firsthand narratives of transgender youth, offering intimate insights into their journeys of self-discovery, resilience, and identity formation. By sharing these raw, personal experiences, the initiative challenges stereotypes, educates broader audiences, and advocates for a world where trans individuals are seen, heard, and celebrated for their truths—ultimately bridging divides through the power of human connection and shared narrative.",Becoming Who We Are: Real Stories About Growing Up Trans,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.026, 'Recall': 0.643, 'F1': 0.049}",0.005,0.413,0.146,[],[],"['Logos', 'Justification', 'Slogans', 'Ethos', 'Glittering generalities (Virtue)', 'Pathos', 'Loaded Language']","['Slogans', 'Glittering generalities (Virtue)', 'Loaded Language']"
