category_name,prompt_type,model_name,created_text,created_complete_hierarchy,created_child_only
3D Printing,generic,marin/marin-8b-instruct,"The brand 3D Printing specializes in creating innovative 3D printable products, and their Thread Boards 2.0 project introduces a unique twist to traditional peg boards. These boards are designed to be 3D printable and offer a customizable, modular approach to crafting and organization.",['Ethos'],[]
Animation,generic,marin/marin-8b-instruct,"Animation is a dynamic medium that brings imagination to life, captivating audiences with visual storytelling, creativity, and emotional resonance. It spans genres, techniques, and styles, from traditional hand-drawn to cutting-edge computer-generated imagery (CGI), serving as a universal language that transcends cultural and linguistic barriers. Alyssum - A 2D Animated Short Film is a project that embodies this essence by presenting a unique narrative through the charming and expressive world of 2D animation. Focused on emotional depth and artistic simplicity, Alyssum utilizes the timeless appeal of 2D visuals to convey its story, highlighting the versatility of animation as a medium that can evoke powerful emotions and engage viewers in a purely visual and auditory experience.","['Ethos', 'Pathos', 'Loaded Language']",['Loaded Language']
Animation,generic,marin/marin-8b-instruct,"The brand Animation is a project by the Marin team, aiming to build foundation models collaboratively and transparently, sharing code, data, and documentation in real-time. Is There Anyone Out There? is an initiative by the Marin project, encouraging contributions to explore new architectures, algorithms, datasets, and evaluations in the field of artificial intelligence.","['Ethos', 'Ad Hominem']",[]
Animation,generic,marin/marin-8b-instruct,"The brand Animation, specifically the project Loving Vincent, focuses on bringing Van Gogh's iconic paintings to life by animating them in a style that mimics the artist's unique brushstrokes and vibrant color palette. This ambitious endeavor aims to create a visually stunning and emotionally engaging film that explores Van Gogh's life and work in a fresh and innovative way.","['Ethos', 'Ad Hominem', 'Pathos', 'Loaded Language']",['Loaded Language']
Animation,generic,marin/marin-8b-instruct,"Animation is a dynamic and imaginative medium that brings static images to life through motion and visual storytelling, encompassing diverse styles from traditional hand-drawn techniques to cutting-edge 3D computer-generated imagery. It is a powerful tool for artistic expression, entertainment, education, and communication, captivating audiences across various platforms, including film, television, video games, and digital media. At its core, animation is about creating engaging narratives and characters that resonate with viewers, transcending cultural and linguistic barriers through universal visual language.","['Pathos', 'Loaded Language']",['Loaded Language']
Animation,generic,marin/marin-8b-instruct,"Animation is a dynamic and creative medium that brings imagination to life by translating concepts, characters, and narratives into moving images and sounds. It's a powerful tool for storytelling, education, entertainment, and artistic expression, encompassing various styles, techniques, and genres. Release the Beast: An Animated Short Film is a project that explores a specific theme or story through this medium, likely focusing on character development, emotional depth, and visual innovation to convey its message or entertain its audience.","['Ethos', 'Ad Hominem', 'Pathos', 'Loaded Language']",['Loaded Language']
Anthologies,generic,marin/marin-8b-instruct,"Anthologies is a brand dedicated to amplifying marginalized voices, and The Consequence of Us is a specific project that publishes South Asian womxn and non-binary writers. This collection features diverse narratives that explore intersectional identities, challenging stereotypes and offering nuanced perspectives on social justice, cultural heritage, and personal resilience.","['Ethos', 'Ad Hominem', 'Pathos', 'Loaded Language']",['Loaded Language']
Anthologies,generic,marin/marin-8b-instruct,"Anthologies is a brand that represents a collection of stories, often from diverse voices and genres, encapsulating the human experience through narrative. The Planetside Anthology, as a project under this brand, focuses on speculative fiction, exploring the infinite possibilities of the cosmos and human civilization across planets. It aims to inspire wonder, foster creativity, and provide a platform for emerging and established authors to share their visions of the future, offering readers a rich tapestry of worlds beyond our own.","['Pathos', 'Loaded Language']",['Loaded Language']
Anthologies,generic,marin/marin-8b-instruct,"Anthologies is a brand dedicated to curating and sharing creative narratives, fostering a community of writers and readers through its literary projects. Hallowed Harvest Volume 2, an anthology by Anthologies, presents a collection of stories, poems, and essays that explore themes of gratitude, harvest, and the spiritual significance of the fall season. This volume aims to celebrate the beauty and abundance of the natural world, offering readers a blend of fiction and non-fiction that reflects on the interconnectedness of nature, human experience, and the cycles of life.","['Ethos', 'Pathos', 'Loaded Language']",['Loaded Language']
Anthologies,generic,marin/marin-8b-instruct,"Anthologies is a brand dedicated to sharing authentic, personal stories and experiences through various mediums. Their project, *Becoming Who We Are: Real Stories About Growing Up Trans*, focuses on amplifying the voices of transgender youth, offering a platform for them to narrate their journeys of self-discovery and acceptance. This initiative aims to foster understanding, empathy, and inclusivity by highlighting the diverse experiences of transgender individuals during their formative years.","['Pathos', 'Loaded Language']",['Loaded Language']
Anthologies,generic,marin/marin-8b-instruct,"Anthologies is a brand dedicated to empowering women through storytelling, fostering community, and promoting gender equality. Women Up To No Good is a specific project within this brand, focusing on showcasing the diverse, often overlooked, experiences of women who challenge societal norms and inspire positive change. Through various mediums, both projects aim to amplify female voices, encourage self-expression, and contribute to a more inclusive and equitable world.","['Ethos', 'Ad Hominem', 'Pathos', 'Loaded Language']",['Loaded Language']
Anthologies,generic,marin/marin-8b-instruct,"Anthologies is a brand dedicated to exploring the boundaries of AI storytelling, focusing on the intersection of technology and creative expression. Tales of Voracious is a project under this brand that specifically delves into the fascinating world of voracious readers and their insatiable thirst for knowledge, examining how AI can understand and generate narratives about such intense intellectual pursuits.","['Ethos', 'Ad Hominem', 'Name calling/Labeling', 'Pathos', 'Loaded Language']","['Name calling/Labeling', 'Loaded Language']"
Anthologies,generic,marin/marin-8b-instruct,"Anthologies is a brand that embodies the spirit of literary exploration, curating diverse voices and narratives in its publication, Aspiring Co. Book - Almost Finished. This project showcases emerging and established authors, celebrating creativity and ambition across genres.","['Ethos', 'Ad Hominem', 'Name calling/Labeling', 'Pathos', 'Loaded Language']","['Name calling/Labeling', 'Loaded Language']"
Apps,generic,marin/marin-8b-instruct,"Apps and the StoryPress project aim to revolutionize how we experience and engage with human history by shifting the focus from impersonal events to deeply personal stories.  StoryPress uses a unique approach, weaving together individual narratives from diverse sources and perspectives to create a richer, more relatable, and emotionally resonant understanding of historical events. By prioritizing personal experiences and anecdotes, StoryPress seeks to make history feel more accessible, human, and impactful, offering a more nuanced and empathetic perspective on our shared past.","['Ethos', 'Glittering generalities (Virtue)', 'Pathos', 'Loaded Language']","['Glittering generalities (Virtue)', 'Loaded Language']"
Architecture,generic,marin/marin-8b-instruct,"The Treehouse at Cornell University, a project by the Marin AI lab, embodies the lab's philosophy of open, collaborative AI development. The project centers around creating and sharing accessible AI models, emphasizing transparency, reproducibility, and community involvement.  The core idea is to foster a collaborative environment where researchers and developers can collectively build, refine, and contribute to cutting-edge AI technologies, promoting open science and democratizing access to AI research and development.","['Ethos', 'Pathos', 'Loaded Language']",['Loaded Language']
Art Books,generic,marin/marin-8b-instruct,"Art Books is a brand that specializes in creating unique, high-quality art books that showcase a wide range of creative works from various artists and mediums. Their focus is on curating and presenting art in a visually stunning and engaging format. The project Dressing Your Octopus, while not directly related to Art Books, is a creative initiative that encourages people to explore their artistic side by providing a platform for users to share and discover their own and others' artwork. It embodies the spirit of creativity and self-expression, aligning with Art Books' mission to inspire and celebrate artistic talent.",['Ethos'],[]
Art Books,generic,marin/marin-8b-instruct,"Art Books, a brand by yáo collaborative, introduces its first book, ""Shifting the Angle of Shine,"" marking a unique collaboration that delves into the intersection of visual arts and cultural narratives. This publication explores the diverse perspectives and creative expressions of artists from various backgrounds, aiming to challenge and expand the reader's understanding of contemporary art. Through a curated selection of essays, interviews, and visual content, ""Shifting the Angle of Shine"" invites readers to reconsider the traditional boundaries of art, presenting a fresh and inclusive dialogue that reflects the complexity and richness of the global art scene.",['Ethos'],[]
Art Books,generic,marin/marin-8b-instruct,"Art Books is a brand dedicated to exploring the intersection of art, technology, and culture through curated experiences.  Change is a project within this brand that likely focuses on the evolving landscape of art and its impact on society, presenting new perspectives and fostering dialogue around the dynamic nature of artistic expression and cultural shifts.",['Ethos'],[]
Art Books,generic,marin/marin-8b-instruct,"Art Books is a brand dedicated to exploring and presenting diverse cultural phenomena through the lens of art and design. One of their projects, ""Return: Korea's Rituals of Death, Spirits, and Ancestors,"" delves into the intricate and profound aspects of Korean culture surrounding death rituals, the belief in spirits, and the reverence for ancestors. This project seeks to convey the depth of Korean spiritual practices and their significance in everyday life, offering a visual and narrative exploration of these traditions. Through a combination of photography, storytelling, and cultural insights, ""Return"" aims to educate and captivate audiences about the unique ways in which Korea honors its past and connects with the spiritual realm.","['Pathos', 'Loaded Language']",['Loaded Language']
Art Books,generic,marin/marin-8b-instruct,"Art Books is a brand dedicated to creating visually stunning illustrated books, and ""Shame: An Illustrated Book"" is one of their projects that embodies this essence. This project delves into the complex and often uncomfortable topic of shame, presenting it through a unique blend of art and narrative. By intertwining powerful visuals with thoughtful text, ""Shame: An Illustrated Book"" offers a profound exploration of this universal human emotion, aiming to provide both insight and solace to readers.","['Ethos', 'Glittering generalities (Virtue)', 'Ad Hominem', 'Pathos', 'Loaded Language']","['Glittering generalities (Virtue)', 'Loaded Language']"
Art Books,generic,marin/marin-8b-instruct,"Art Books is a brand dedicated to exploring the intersection of art, technology, and human connection through curated experiences and publications. Visions of Whence is a project within this brand that delves into the evolution of human thought, creativity, and technology, examining how these elements have shaped our understanding of the world and our place within it.","['Pathos', 'Loaded Language']",['Loaded Language']
Audio,generic,marin/marin-8b-instruct,"The brand Audio represents a media company focused on creating engaging audio content, while The Critical African Circumcision Radio Series is a project by this brand that explores the complex and multifaceted topic of circumcision in Africa, aiming to provide in-depth analysis and critical perspectives on this cultural, health, and social issue.","['Ethos', 'Ad Hominem', 'Smears', 'Pathos']",['Smears']
Audio,generic,marin/marin-8b-instruct,"Audio is a brand dedicated to creating innovative audio products, emphasizing cutting-edge technology and user-centric design to deliver superior sound experiences. Humanist Experience Radio is a project that explores and celebrates human experiences through radio programming, focusing on diverse perspectives and storytelling to foster empathy and understanding among listeners.","['Ethos', 'Ad Hominem']",[]
Audio,generic,marin/marin-8b-instruct,"The brand Audio and the project The SEAMS: In every stitch, a story, embodies the essence of narrative craftsmanship, weaving together the threads of human experience into unique, emotionally resonant audio stories. It celebrates the power of storytelling, capturing diverse voices and perspectives, and delivering immersive listening experiences that connect people through shared human experiences, highlighting the emotional depth and richness of life's everyday moments.","['Ethos', 'Ad Hominem', 'Pathos', 'Loaded Language']",['Loaded Language']
Calendars,generic,marin/marin-8b-instruct,"The Calendars brand, particularly the Celtic Art Calendar project, centers around the celebration and appreciation of Celtic artistry and cultural heritage. This calendar project, likely part of the Calendars brand, showcases the intricate and symbolic designs of Celtic art, which are deeply rooted in the mythology and traditions of Celtic regions. The essence of this brand/project lies in its ability to bring these ancient and mystical art forms into everyday life, offering a visual reminder of Celtic history and aesthetics throughout the year.","['Logos', 'Reasoning', 'Simplification', 'Pathos', 'Loaded Language']",['Loaded Language']
Calendars,generic,marin/marin-8b-instruct,"Calendars and the project Whimsical Wonders 2024 Calendar are centered around creating unique and engaging calendars that combine functionality with artistic and imaginative themes. The core idea of Whimsical Wonders is to present a calendar that is not just a tool for organizing time, but a source of inspiration and joy, filled with creative and enchanting artwork or illustrations that add a touch of whimsy to everyday life.","['Ethos', 'Ad Hominem', 'Pathos', 'Loaded Language']",['Loaded Language']
Calendars,generic,marin/marin-8b-instruct,"Calendars, as a brand, specializes in creating high-quality calendars that cater to diverse tastes and preferences, ensuring a seamless blend of functionality and aesthetic appeal. The Anchorage & Vicinity 2016 Calendar, a specific offering from this brand, focuses on showcasing the unique charm and natural beauty of the Anchorage area and its surroundings in Alaska. This calendar provides a visual journey through the region's stunning landscapes, wildlife, and cultural attractions, making it an ideal choice for those looking to capture the essence of this picturesque location throughout the year.",['Ethos'],[]
Calendars,generic,marin/marin-8b-instruct,"Calendars, as a brand, specializes in creating beautiful and meaningful products that help people organize their time and enjoy the journey of each day. The Strangehollow 2022 A4 Wall Calendar is a specific product that features the unique and intriguing artwork of Strangehollow, a project known for its captivating and often surreal imagery. This calendar is designed to inspire creativity and add a touch of whimsy to any room, making it a perfect choice for those who appreciate art and want to keep track of their dates in a visually appealing way.","['Ethos', 'Ad Hominem', 'Name calling/Labeling', 'Smears']","['Name calling/Labeling', 'Smears']"
Ceramics,generic,marin/marin-8b-instruct,"Ceramics is a brand renowned for its meticulous craftsmanship and innovative designs, particularly in the realm of video game-inspired art. The Zelda: Ocarina of Time replicas, part of their collection, capture the essence of this legacy by offering a complete set of ocarinas from the iconic game. These replicas are not mere toys but are crafted with attention to detail, reflecting the brand's commitment to quality and authenticity. Each ocarina in the set is designed to mirror the original in-game instruments, making them a perfect collectible for fans and enthusiasts. The compact nature of these replicas ensures they are both a beautiful and practical addition to any collection, embodying the spirit of adventure and nostalgia associated with the Zelda series.","['Ethos', 'Ad Hominem', 'Smears']",['Smears']
Children's Books,generic,marin/marin-8b-instruct,"Children's Books is a brand dedicated to creating engaging, educational content for young readers, focusing on age-appropriate stories, illustrations, and themes that foster learning and imagination. The Magical Mama project, a subset of this brand, centers around a series of books featuring a nurturing, magical character named Mama, who uses her kindness, wisdom, and gentle magic to teach children important life lessons, emotional intelligence, and positive values, aiming to inspire confidence, empathy, and a love for reading in early childhood.","['Ethos', 'Glittering generalities (Virtue)', 'Ad Hominem', 'Name calling/Labeling', 'Pathos', 'Loaded Language']","['Glittering generalities (Virtue)', 'Name calling/Labeling', 'Loaded Language']"
Children's Books,generic,marin/marin-8b-instruct,"Children's Books is a brand dedicated to creating engaging, educational, and entertaining content for young readers, fostering creativity, curiosity, and a love for reading. Zorro the Boston Terrier Book, a stretch goal project, aims to raise $10,000 to bring this unique story to life. This book promises to follow the adventures of Zorro, a charming Boston Terrier, as he navigates the ups and downs of life, teaching valuable lessons about friendship, courage, and perseverance to its young audience.","['Ethos', 'Glittering generalities (Virtue)', 'Ad Hominem', 'Name calling/Labeling', 'Pathos', 'Loaded Language']","['Glittering generalities (Virtue)', 'Name calling/Labeling', 'Loaded Language']"
Childrenswear,generic,marin/marin-8b-instruct,"Childrenswear is a brand dedicated to creating sustainable and eco-friendly children's clothing, with a specific focus on the NUDNIK project, which aims to produce the 1st Negative-Waste, Positive Impact Kidswear. This innovative initiative seeks to minimize environmental harm by utilizing recycled and biodegradable materials, designing garments that are both durable and adaptable to different seasons, and implementing a unique take-back program to recycle or upcycle old children's clothing, thereby reducing waste and promoting a circular economy.","['Ethos', 'Pathos', 'Loaded Language']",['Loaded Language']
Chiptune,generic,marin/marin-8b-instruct,"Chiptune is a music genre that uses sound chips from vintage video game consoles and computers, while Big Giant Circles' ""The Glory Days"" (Impostor Nostalgia 2) is a chiptune album that explores the nostalgia and emotional connection people have with retro video games and technology, using 8-bit sound chips to recreate the melodies and atmospheres of classic gaming experiences.","['Ethos', 'Ad Hominem', 'Name calling/Labeling', 'Smears', 'Pathos', 'Loaded Language']","['Name calling/Labeling', 'Smears', 'Loaded Language']"
Chiptune,generic,marin/marin-8b-instruct,"Chiptune is a genre of music that utilizes sound chips from vintage computers and gaming consoles, emphasizing nostalgic sounds and playful melodies. Diamonds & Glass - Chip-Pop Album by The Fluorescent is a project that creatively fuses chiptune with pop music, resulting in a unique blend of retro gaming aesthetics and catchy, contemporary pop hooks.","['Ethos', 'Ad Hominem', 'Smears', 'Pathos', 'Loaded Language']","['Smears', 'Loaded Language']"
Civic Design,generic,marin/marin-8b-instruct,"Civic Design is a brand that embodies the principles of community-driven, sustainable, and inclusive design, focusing on creating innovative solutions that address urban challenges while fostering social cohesion. The BAG2WORK project, made by refugees, represents a powerful expression of this ethos. It involves transforming discarded boats, often symbols of displacement, into functional and meaningful products. This initiative not only provides employment and skills training for refugees but also repurposes waste, promoting environmental sustainability. By merging the struggles and talents of refugees with the principles of civic design, BAG2WORK creates a narrative of resilience, creativity, and hope, showcasing how marginalized communities can contribute to urban sustainability and social change through design.","['Ethos', 'Glittering generalities (Virtue)', 'Ad Hominem', 'Smears', 'Pathos', 'Loaded Language']","['Glittering generalities (Virtue)', 'Smears', 'Loaded Language']"
Classical Music,generic,marin/marin-8b-instruct,"Classical Music is a timeless brand that embodies the spirit of sophistication, elegance, and emotional depth found in classical music's rich heritage. The Mozart Promenade project, celebrating Wolfgang Amadeus Mozart's 1771 trip to Milan, is a celebration of this heritage, focusing on the profound musical and cultural impact of this pivotal moment in Mozart's life. This project offers a unique journey through the vibrant city, showcasing how Mozart's experiences there influenced his compositions and shaped the future of classical music.","['Ethos', 'Pathos', 'Loaded Language']",['Loaded Language']
Classical Music,generic,marin/marin-8b-instruct,"Classical Music, as a brand, embodies the timeless elegance and emotional depth of traditional Western music, celebrating its rich history and cultural significance. Quodlibet Ensemble's Debut CD, a project dedicated to this classical legacy, showcases the ensemble's commitment to authenticity and artistry. This debut CD features a curated selection of classical masterpieces, performed with passion and precision, highlighting the ensemble's ability to breathe new life into classic compositions. The project aims to connect contemporary audiences with the enduring beauty of classical music, offering a fresh perspective on this revered genre.","['Ethos', 'Pathos', 'Loaded Language']",['Loaded Language']
Classical Music,generic,marin/marin-8b-instruct,"Classical Music, as a brand, embodies the timeless and emotive world of classical music, capturing its elegance, depth, and cultural significance. Ensemble Dal Niente, the project behind STAGED, is a collective of exceptional musicians dedicated to reimagining and revitalizing the classical music experience through innovative performances and interpretations, often blurring the lines between traditional genres and contemporary influences.","['Ethos', 'Glittering generalities (Virtue)', 'Ad Hominem', 'Name calling/Labeling', 'Pathos', 'Loaded Language']","['Glittering generalities (Virtue)', 'Name calling/Labeling', 'Loaded Language']"
